"state_name","felony_theft_threshold","year_last_updated"
"Alabama","1500","2015"
"Alaska","1000","2016"
"Arizona","1000","2006"
"Arkansas","1000","2011"
"California","950","2010"
"Colorado","2000","2013"
"Connecticut","2000","2009"
"Delaware","1500","2009"
"District of Columbia","1000","2010"
"Florida","750","2019"
"Georgia","1500","2012"
"Hawaii","750","2016"
"Idaho","1000","before 2000*"
"Illinois","500","2010"
"Indiana","750","2013"
"Iowa","1000","before 2000*"
"Kansas","1500","2016"
"Kentucky","500","2009"
"Louisiana","1000","2017"
"Maine","1000","before 2000*"
"Maryland","1500","2016"
"Massachusetts","1200","2018"
"Michigan","1000","before 2000*"
"Minnesota","1000","2007"
"Mississippi","1000","2014"
"Missouri","750","2014"
"Montana","1500","2009"
"Nebraska","1500","2015"
"Nevada","650","2011"
"New Hampshire","1000","2010"
"New Jersey","200","1978"
"New Mexico","500","2006"
"New York","1000","before 2000*"
"North Carolina","1000","before 2000*"
"North Dakota","1000","2013"
"Ohio","1000","2011"
"Oklahoma","1000","2016"
"Oregon","1000","2009"
"Pennsylvania","2000","before 2000*"
"Rhode Island","1500","2012"
"South Carolina","2000","2010"
"South Dakota","1000","2005"
"Tennessee","1000","2016"
"Texas","2500","2015"
"Utah","1500","2010"
"Vermont","900","2006"
"Virginia","1000","2020"
"Washington","750","2009"
"West Virginia","1000","before 2000*"
"⇡Show all states⇣","",""
"Wisconsin","2500","2001"
"Wyoming","1000","2004"